epoch;acc;loss;val_acc;val_loss;;Назва моделі;Назва етапу;Номер епохи;Точність;Значення функції втрат;Час роботи
0;0.7886;0.433953447;0.85356;0.338948789;;Bayes;Тренування;1;;-;
1;0.8806;0.286723452;0.85536;0.346190181;;;Тестування;1;;-;
2;0.9056;0.238486533;0.84884;0.345808764;;CNN;Тренування;1;;;
3;0.9282;0.195730652;0.85;0.355278543;;;;2;;;
4;0.94396;0.156350916;0.84956;0.419292575;;;;3;;;
0;0.79356;0.427965936;0.85688;0.329745461;;;;4;;;
1;0.88076;0.288638165;0.85012;0.348547519;;;Тестування;1;;;
2;0.9026;0.243061366;0.85332;0.339949591;;LSTM;Тренування;1;;;
3;0.92368;0.199542689;0.84424;0.389610498;;;;2;;;
4;0.94016;0.162126987;0.8472;0.417441682;;;;3;;;
0;0.79368;0.424004308;0.85228;0.334748553;;;;4;;;
1;0.8814;0.285826097;0.8554;0.331026573;;;Тестування;1;;;
2;0.90576;0.240795328;0.8518;0.345826541;;CNN_LSTM;Тренування;1;;;
3;0.92508;0.197267779;0.8298;0.394721962;;;;2;;;
4;0.94108;0.161679766;0.84356;0.41773857;;;;3;;;
0;0.79604;0.419926075;0.84384;0.353688475;;;;4;;;
1;0.88208;0.289608018;0.85584;0.334216319;;;Тестування;1;;;
2;0.90624;0.238742978;0.85152;0.380026557;;;;;;;
3;0.92656;0.195110306;0.84024;0.373109225;;;;;;;
4;0.941;0.160365619;0.84712;0.406805506;;;;;;;
0;0.79316;0.421971925;0.85492;0.335355023;;;;;;;
1;0.88472;0.284132643;0.8468;0.347748258;;;;;;;
2;0.90648;0.235649683;0.85436;0.344599467;;;;;;;
3;0.92452;0.195088024;0.84708;0.376085257;;;;;;;
4;0.94336;0.154971487;0.84528;0.454578439;;;;;;;
0;0.79516;0.420135546;0.85216;0.338265344;;;;;;;
1;0.88216;0.286702733;0.85724;0.332181105;;;;;;;
2;0.90584;0.23746699;0.85092;0.356897391;;;;;;;
3;0.9278;0.194019964;0.85064;0.375171401;;;;;;;
4;0.94264;0.16042146;0.84812;0.412131414;;;;;;;
0;0.78908;0.442088124;0.84996;0.344615623;;;;;;;
1;0.8806;0.289558646;0.85228;0.33862955;;;;;;;
2;0.90476;0.240123131;0.85392;0.343548633;;;;;;;
3;0.92548;0.19953269;0.85224;0.361560122;;;;;;;
4;0.94264;0.158844203;0.8488;0.404087102;;;;;;;
0;0.78836;0.424074947;0.85068;0.352025921;;;;;;;
1;0.87984;0.286774577;0.85468;0.360411905;;;;;;;
2;0.90472;0.240694393;0.85008;0.347329288;;;;;;;
3;0.9262;0.195218094;0.8462;0.419414188;;;;;;;
4;0.94188;0.160986324;0.84592;0.411991976;;;;;;;
0;0.79528;0.418071314;0.8516;0.334755325;;;;;;;
1;0.88504;0.283541905;0.8434;0.355820856;;;;;;;
2;0.9076;0.235322007;0.85032;0.353973948;;;;;;;
3;0.92984;0.1877489;0.8508;0.38923283;;;;;;;
4;0.94672;0.148390818;0.8472;0.423035385;;;;;;;
0;0.78364;0.432209805;0.84864;0.343199732;;;;;;;
1;0.88168;0.289355985;0.85804;0.328043052;;;;;;;
2;0.904;0.239800158;0.8488;0.358558713;;;;;;;
3;0.92572;0.196420974;0.84832;0.402031333;;;;;;;
4;0.9438;0.156885986;0.84672;0.399461574;;;;;;;
0;0.78928;0.426346157;0.83128;0.383031653;;;;;;;
1;0.88484;0.28523593;0.85828;0.330028167;;;;;;;
2;0.90464;0.238941148;0.85184;0.35728189;;;;;;;
3;0.92544;0.196876643;0.85192;0.370262668;;;;;;;
4;0.94228;0.159803053;0.84468;0.421995966;;;;;;;
0;0.79712;0.430632626;0.8538;0.328842299;;;;;;;
1;0.88384;0.288706104;0.855;0.340013606;;;;;;;
2;0.90632;0.237927471;0.84676;0.357792366;;;;;;;
3;0.92648;0.1960383;0.85368;0.364282727;;;;;;;
4;0.94416;0.15805452;0.84788;0.41432653;;;;;;;
0;0.79564;0.42070884;0.85368;0.329443594;;;;;;;
0;0.79508;0.430409797;0.846;0.348867121;;;;;;;
1;0.89116;0.271696836;0.85744;0.331385711;;;;;;;
2;0.91836;0.215201332;0.8516;0.351242281;;;;;;;
3;0.9386;0.167498172;0.84512;0.400607056;;;;;;;
4;0.95636;0.125101913;0.83996;0.452030172;;;;;;;
0;0.79864;0.421308366689682;0.85152;0.342083893327713
1;0.88252;0.2853173736953735;0.8554;0.3370661602926254
2;0.90632;0.23693190838336944;0.85292;0.3406626235771179
3;0.92548;0.19471600387096405;0.85488;0.3572605394697189
4;0.94128;0.15961027227401733;0.84744;0.41011557711839675
0;0.7886;0.4305080278491974;0.85252;0.3327351591730118
1;0.88292;0.28584735621452334;0.84348;0.3579924772644043
2;0.9052;0.24101322897434235;0.84696;0.34943336568832395
3;0.92032;0.2048136592555046;0.84844;0.3835395324707031
4;0.94012;0.16646049680173397;0.84656;0.4021480776119232
0;0.79712;0.4220517446708679;0.8564;0.33287727213382723
1;0.88128;0.2891279685306549;0.85508;0.3363717900466919
2;0.90804;0.2362847074985504;0.84096;0.3666829045367241
3;0.9276;0.19383174436092376;0.84684;0.3774554297065735
4;0.94428;0.15469912312746048;0.84716;0.3756675674533844
